name,units1,units2,dropout,rec_dropout,l2,seq_len,batch_size,lr,optimizer,loss,epochs,patience,RMSE,MAE,R2,DA,n_params,train_loss,val_loss,train_time_s,Horizon
arch_units1_64,64,0,0.3,0.0,0.0,10,32,0.001,adam,mse,11,10,0.04170763690072874,0.030840601420152648,-0.049824147122029316,0.5241779497098646,25921,0.31186097860336304,0.5582163333892822,13.117296934127808,5d
arch_2c_32_16,32,16,0.3,0.0,0.0,10,32,0.001,adam,mse,11,10,0.041385104203786716,0.030852552512167803,-0.033649968917015105,0.5029013539651838,11985,0.5257593989372253,0.5698251128196716,18.818013906478882,5d
arch_2c_64_32,64,32,0.3,0.0,0.0,10,32,0.001,adam,mse,11,10,0.04175568726828662,0.03108719362528924,-0.052244494943347375,0.47775628626692457,38305,0.365047812461853,0.579281747341156,20.201064825057983,5d
arch_2c_128_64,128,64,0.3,0.0,0.0,10,32,0.001,adam,mse,11,10,0.042104349786445956,0.031073529634321126,-0.06989047167559392,0.5106382978723404,133953,0.28013157844543457,0.5879155993461609,25.5653018951416,5d
seq_3,16,0,0.3,0.0,0.0,3,32,0.001,adam,mse,11,10,0.04288543061290249,0.03213791118277496,-0.10995389666439093,0.4951644100580271,3409,0.8368088603019714,0.5909751057624817,10.010512590408325,5d
seq_5,16,0,0.3,0.0,0.0,5,32,0.001,adam,mse,15,10,0.04068492660669576,0.030462987156837908,0.0010299598873235727,0.5087040618955513,3409,0.7468888759613037,0.5986354947090149,13.086824178695679,5d
seq_20,16,0,0.3,0.0,0.0,20,32,0.001,adam,mse,12,10,0.041118538847969,0.03088599037257398,-0.0203771789741094,0.5531914893617021,3409,0.6940709948539734,0.6023595929145813,15.471127033233643,5d
seq_30,16,0,0.3,0.0,0.0,30,32,0.001,adam,mse,15,10,0.04243560801350864,0.03135698863708088,-0.08679153736185286,0.4990328820116054,3409,0.610202968120575,0.6520286202430725,20.49809765815735,5d
seq_60,16,0,0.3,0.0,0.0,60,32,0.001,adam,mse,15,10,0.04148865555350302,0.031098131593146814,-0.03882911541670331,0.5164410058027079,3409,0.551651120185852,0.5471557378768921,31.093430519104004,5d
drop_0.0,16,0,0.0,0.0,0.0,10,32,0.001,adam,mse,14,10,0.042058155139705934,0.031182494105434364,-0.0675441060205535,0.5415860735009671,3409,0.47969260811805725,0.6150703430175781,13.364306926727295,5d
drop_0.1,16,0,0.1,0.0,0.0,10,32,0.001,adam,mse,11,10,0.043250693814004995,0.03182526769506531,-0.12894178364655184,0.48549323017408125,3409,0.6471840739250183,0.5789189338684082,11.705094575881958,5d
drop_0.2,16,0,0.2,0.0,0.0,10,32,0.001,adam,mse,15,10,0.04062620474759531,0.030697112611295888,0.003911569805605253,0.5241779497098646,3409,0.5304088592529297,0.6064333319664001,14.337826251983643,5d
